Word,Frequency
THE,133
PRESIDENT,171
THANK,76
MUCH,41
APPRECIATE,13
EVERYBODY,10
BEAUTIFUL,2
DAY,22
ROSE,2
GARDEN,2
TREMENDOUS,8
DISTANCE,1
CHAIRS,1
SOCIAL,3
DISTANCING,5
YOU,49
PRACTICE,3
WELL,56
WE,81
THATS,81
GREAT,48
I,329
WANT,77
START,8
TODAY,16
HIGHLIGHTING,1
SEVERAL,1
CRITICAL,6
DEVELOPMENTS,1
TESTING,12
TREATMENT,6
HELP,10
US,23
WIN,6
WAR,2
CORONAVIRUS,7
ON,3
FRIDAY,3
FDA,9
AUTHORIZED,1
NEW,45
TEST,23
DEVELOPED,1
ABBOTT,7
LABS,2
DELIVERS,2
LIGHTNING,1
FAST,5
RESULTS,4
LITTLE,16
FIVE,4
MINUTES,6
WHOLE,6
BALLGAME,1
INCREDIBLE,24
WORK,21
THEYVE,19
DONE,34
WORKING,27
AROUND,9
CLOCK,4
NORMALLY,1
APPROVAL,7
PROCESS,3
WOULD,48
TAKE,31
10,14
MONTHS,4
EVEN,31
LONGER,3
FOUR,5
WEEKS,22
STATED,1
BEGIN,1
DELIVERING,8
50,5
000,40
TESTS,11
STARTING,4
WEEK,18
AND,182
KNOW,87
DEVELOPMENT,1
WEVE,30
COUNTRY,22
ANYWHERE,8
WORLD,21
ITS,24
ONE,37
REASONS,5
CASES,13
COUNTRIES,14
ALSO,32
LOWEST,1
TERMS,1
MORTALITY,5
RATE,6
SO,81
BIGGER,2
NUMBERS,15
LOOK,31
GENERAL,6
SEMONITE,1
ARMY,8
CORPS,8
ENGINEERS,7
POLOWCZYK,1
WHOS,5
GOING,94
SAY,39
WORDS,3
WHAT,11
ALONG,7
FEMA,14
YORK,29
THEY,30
BUILT,5
2,50
900,3
BEDS,5
WORTH,1
HOSPITAL,22
AN,1
JAVITS,3
CENTER,3
UNREAL,1
LESS,8
DAYS,10
PEOPLE,118
NEVER,18
SEEN,29
ANYTHING,16
LIKE,77
COMPLEX,4
TOP,5
LINE,4
QUICKLY,14
EVERYONE,4
TRYING,12
FIGURE,3
INCLUDING,8
GOOD,23
BUILDER,1
BUT,79
MIKE,16
HAPPY,13
JOB,37
NOW,7
THEYRE,54
MOVING,4
LOCATIONS,2
THROUGHOUT,6
ALREADY,6
BUILDING,6
HOSPITALS,13
WERE,34
LOUISIANA,10
JERSEY,7
MANY,17
PLACES,8
MEN,1
WOMEN,1
WORKED,6
GOVERNOR,15
CUOMO,2
EXPRESSED,1
THANKS,9
MEAN,25
THERES,18
NOBODY,15
COULD,36
MOST,1
DEPLOYMENT,1
RAPID,6
VASTLY,1
ACCELERATE,1
ABILITY,1
MONITOR,1
TRACK,1
CONTAIN,2
ULTIMATELY,3
DEFEAT,3
VIRUS,16
IT,18
ALLOW,1
DOCTORS,10
NURSES,6
HEALTHCARE,13
WORKERS,7
IMMEDIATELY,2
ENABLE,1
ACT,5
AGGRESSIVELY,1
SHUT,3
SPREAD,2
IMPORTANT,10
FACILITIES,2
NURSING,1
HOMES,1
ENSURE,4
GIVE,10
CITIES,4
STATES,29
BEST,13
INFORMATION,3
GUIDE,1
LOCAL,8
DECISION,5
MAKERS,1
MAKING,5
POINT,12
HYDROXYCHLOROQUINE,1
ADMINISTERED,1
1,8
100,13
PATIENTS,8
Z,1
PAK,1
AZITHROMYCIN,1
EARLY,7
YET,3
STARTED,6
TWO,29
AGO,11
SEE,29
HAPPENS,4
STEPHEN,2
HAHN,2
DOCTOR,4
LEFT,4
JOBS,2
RUNNING,4
TEXAS,1
HES,20
HEAD,4
GOT,15
LETS,3
WORKS,2
MAY,14
SOON,7
