Word,Frequency
THE,138
PRESIDENT,162
ITS,57
BUSY,3
TIME,41
VERY,4
AND,219
LET,13
BEGIN,3
EXPRESSING,1
SUPPORT,6
SOLIDARITY,1
LOVE,4
PEOPLE,123
GREAT,42
COUNTRY,55
WERE,42
FIGHTING,3
ENDURING,1
TOGETHER,14
SOON,11
PREVAIL,1
MAKING,11
LOT,44
PROGRESS,3
WE,76
APPRECIATE,11
ASSISTANCE,1
GOVERNORS,15
WITHIN,3
STATES,44
RELATIONSHIPS,1
REALLY,54
GOOD,34
I,356
SPOKE,9
GOVERNOR,22
CUOMO,4
WORKING,28
HARD,12
GET,56
ADDITIONAL,5
THINGS,15
NEW,60
YORK,36
QUICKLY,5
POSSIBLE,12
KNOW,118
TOOK,7
CARE,14
HOSPITAL,15
INCLUDING,5
PERSONNEL,3
2,4
500,2
BEDS,2
BUILD,2
RECENTLY,1
JAVITS,1
OPENED,1
COVID,6
THATS,81
SOMETHING,29
ALSO,33
LOUISIANA,8
DALLAS,1
SO,70
HOSPITALS,19
BUILT,5
MANNING,1
MANY,30
CASES,27
UNABLE,4
WORK,24
INCREDIBLE,11
SITUATION,6
THERES,21
NEVER,15
ANYTHING,15
LIKE,64
ONE,46
IMPORTANT,14
ISSUES,1
BATTLING,1
PANDEMIC,4
COORDINATING,1
DELIVERY,2
CRUCIAL,1
SUPPLIES,8
THROUGHOUT,1
NATION,7
BASED,6
UPON,3
ACCURATE,1
INFORMATION,7
AVAILABLE,4
WEVE,38
GOT,25
BEST,1
HEALTHCARE,12
DISASTER,2
EXPERTS,4
ANYWHERE,3
WORLD,10
EVERYBODY,15
TELL,19
DEALING,6
BIG,19
PARTS,2
HELPING,3
HORRIBLE,5
151,3
STILL,10
NATIONS,4
GOING,130
ENSURE,7
DELIVERED,2
THEYRE,93
NEEDED,4
TELLING,3
CANT,13
GO,55
DONT,79
THINK,96
NEED,38
SOMEPLACE,1
ELSE,5
NEEDS,8
PRETTY,6
MUCH,24
FAR,9
RIGHT,54
WELL,61
CONTINUE,10
AS,4
GETS,3
PROBABLY,8
TOUGHEST,1
WEEK,21
NEXT,16
THERELL,2
DEATH,3
UNFORTUNATELY,5
LESS,5
WASNT,10
DONE,12
BUT,115
LOOKING,9
OBVIOUS,4
FOCUS,3
HARDEST,1
HIT,15
REGIONS,1
SOME,12
ARENT,5
THEY,40
SPRING,1
COME,17
CLUB,1
AREA,13
BOTHERED,1
YOU,51
LOOK,24
WHATS,11
JERSEY,10
EXCELLENT,2
JOB,20
WAY,28
SPRANG,2
EVERY,30
DECISION,12
MADE,14
SAVE,4
LIVES,8
SOLE,1
CONSIDERATION,2
WANT,75
LOST,4
THEREFORE,2
CRITICAL,3
CERTAIN,8
MEDIA,3
OUTLETS,1
STOP,7
SPREADING,1
FALSE,4
RUMORS,1
CREATING,1
FEAR,1
EVEN,20
PANIC,1
PUBLIC,7
COULD,24
NAME,3
ONES,7
ALWAYS,4
GUESS,5
RATINGS,2
BAD,8
UNDERSTAND,12
LEVELS,4
APPROVAL,4
LOWEST,1
THEYVE,9
EVER,17
OUGHT,5
PUT,8
LITTLE,20
BACK,43
FAKE,8
NEWS,5
DURING,1
NATIONAL,11
EMERGENCY,5
ESSENTIAL,3
FEDERAL,5
MAKERS,1
CUT,2
FOG,1
CONFUSION,1
ORDER,7
FOLLOW,5
FACTS,2
SCIENCE,2
ADMINISTRATORS,1
TOUCH,1
HOTSPOTS,6
COMMUNICATING,1
DIRECTLY,6
US,22
LEVEL,10
MEETING,2
CURRENT,1
THRILLED,1
WHENEVER,2
LOCAL,3
SHORTAGES,6
REPORTED,2
ASKING,8
IMMEDIATELY,3
MEET,3
DEMAND,3
STOCKPILING,2
LARGE,8
AMOUNTS,4
DIFFERENT,23
AREAS,24
DISCUSSING,2
DISTRIBUTIONS,1
FAIR,2
BASIS,6
TAKE,21
MATTER,4
STRONGLY,3
THANK,24
FEMA,9
ARMY,5
CORPS,5
ENGINEERS,2
MILITARY,11
ADDING,2
TREMENDOUS,6
AMOUNT,3
HELP,8
SUPPLEMENT,1
THOUSANDS,11
SOLDIERS,1
MEDICAL,16
WORKERS,16
PROFESSIONALS,5
NURSES,7
DOCTORS,16
ITLL,9
NUMBER,22
SHORT,2
PERIOD,9
WAR,11
BATTLE,2
TRAINED,2
NOBODY,11
SEEN,19
WOULD,23
SAY,48
SINCE,3
1917,4
GREATEST,12
TYPE,1
UP,1
100,6
MILLION,13
KILLED,1
IN,15
ADDITION,4
EXISTING,1
SUPPLIERS,1
DISTRIBUTORS,3
PRIORITIZED,1
CHANGES,3
DAY,23
STATE,22
LOCALE,1
CITY,8
SUDDEN,3
STARTING,2
REPORTS,3
COMING,19
WASHINGTON,9
VARIOUS,3
CALIFORNIA,7
GETTING,26
READY,11
IT,26
LOOKS,1
AMAZING,8
EVERYONE,8
EXPERIENCING,4
SCALE,5
INFECTIONS,1
REQUESTING,2
BEYOND,2
PRESENT,1
CIRCUMSTANCES,1
REQUIRE,2
TALK,9
EXPLAIN,1
PART,5
UNDERSTANDABLE,1
OFFICIALS,2
SEEK,1
COMMUNITIES,4
FEARS,1
LED,2
INFLATED,1
REQUESTS,2
MEAN,33
40,10
000,30
VENTILATORS,44
FORTY,2
THOUSAND,3
WONT,9
ADMITTING,1
AGAIN,3
TERMS,7
PROTECTIVE,2
EQUIPMENT,5
UNIFORMS,1
OUTFITS,1
MAKES,2
DIFFICULT,8
PRIORITIZE,1
REAL,5
INTENTIONALLY,1
PROPER,1
INTENTIONS,1
MAKE,20
SURE,18
PERCENT,6
SOMETIMES,1
ANYWAY,2
