Word,Frequency
THE,50
PRESIDENT,83
THANK,25
MUCH,9
WE,34
ATTENDED,1
IMPORTANT,9
TASK,5
FORCE,9
MEETING,7
VIRUS,5
EVERYBODY,2
TALKING,8
WORLD,5
NO,2
MATTER,1
GO,19
THATS,18
WHATS,1
PEOPLES,1
MINDS,1
AND,70
GOING,25
TAKE,5
CARE,6
TAKING,7
AMERICAN,32
PUBLIC,21
ECONOMY,9
ASKING,2
TOMORROW,14
SEEING,3
SENATE,3
WERE,13
HOUSE,7
REPUBLICANS,1
MITCH,1
MCCONNELL,1
DISCUSSING,3
POSSIBLE,5
PAYROLL,2
TAX,5
CUT,2
RELIEF,7
SUBSTANTIAL,2
BIG,3
NUMBER,12
ALSO,22
HOURLY,2
WAGE,2
EARNERS,2
GETTING,6
HELP,7
POSITION,2
THEYRE,16
EVER,3
MISS,1
PAYCHECK,2
WORKING,24
COMPANIES,10
SMALL,6
LARGE,7
LOT,5
DONT,11
GET,22
PENALIZED,1
SOMETHING,4
FAULT,3
ITS,5
COUNTRYS,1
THIS,7
THROWN,1
HANDLE,1
HANDLING,1
WELL,39
DECISION,2
EARLY,1
SHUT,1
BORDERS,1
FIRST,7
ONES,2
WEVE,13
NEVER,2
DONE,7
COUNTRY,7
OR,1
WED,1
SITUATION,4
WOULD,20
DIRE,1
BUSINESS,5
ADMINISTRATION,2
CREATING,1
LOANS,1
BUSINESSES,9
INDUSTRIES,4
INCLUDING,2
AIRLINE,1
INDUSTRY,8
CRUISE,13
SHIP,10
OBVIOUSLY,4
HIT,1
STRONGLY,2
WANT,28
TRAVEL,5
PEOPLE,43
CERTAIN,3
LOCATIONS,2
MOMENT,3
HOPEFULLY,2
STRAIGHTEN,1
SOONER,1
RATHER,1
LATER,1
BUT,24
PARTICULAR,1
TWO,4
HOTEL,2
PLACES,2
ACTUALLY,6
PROBABLY,2
WONT,1
MAIN,1
THING,4
I,75
REALLY,15
APPRECIATE,1
PROFESSIONALS,3
BEHIND,6
DIFFERENT,4
ROOM,4
TREMENDOUS,1
TEAM,6
HEADED,1
GREAT,13
VICE,43
MIKE,4
PENCE,1
HES,6
24,1
HOURS,1
DAY,3
HE,1
HARD,1
DILIGENTLY,2
PROFESSIONALLY,1
ILL,5
SAY,10
WORDS,1
PLEASE,6
MR,14
COMPLETED,1
DAYS,2
WHITE,8
CORONAVIRUS,36
OPPORTUNITY,1
BRIEF,3
TODAY,24
BROAD,1
RANGE,2
ISSUES,4
UNPRECEDENTED,2
ACTION,3
TRUMP,4
TOOK,2
JANUARY,1
SUSPENDING,1
CHINA,3
ESTABLISHING,2
ADVISORIES,1
PORTIONS,2
SOUTH,2
KOREA,2
ITALY,2
SCREENING,5
DIRECT,4
FLIGHTS,2
PASSENGERS,8
AIRPORTS,1
BOUGHT,2
CONSIDERABLE,1
AMOUNT,1
TIME,10
ACCORDING,1
HEALTH,20
EXPERTS,5
DEAL,2
UNITED,9
STATES,9
IN,2
FACT,3
STAND,3
RISK,9
CONTRACTING,2
REMAINS,3
LOW,5
SERIOUS,8
DISEASE,4
AMONG,2
WITH,2
SAID,16
DEPLOY,1
WHOLE,6
GOVERNMENT,3
APPROACH,5
AMERICA,6
LAST,9
WEEK,11
PRESIDENTS,14
DIRECTION,4
MET,2
LEADERS,3
NURSING,8
HOMES,5
AIRLINES,1
PHARMACEUTICAL,2
COMMERCIAL,8
LABS,11
IMPACT,1
ALREADY,7
LITERALLY,4
AROUND,7
CLOCK,1
DEVELOPMENT,1
THERAPEUTICS,1
MEDICINES,1
BRING,3
CONTRACT,5
KNOW,40
PLEASED,3
LEARN,2
LED,1
LIKE,7
LABCORP,2
QUEST,2
BROUGHT,1
TEST,14
FORWARD,7
MARKET,5
EFFECTIVE,1
HOSPITAL,1
CEOS,3
INSURANCE,1
BUILDING,1
TOP,2
ANNOUNCING,1
REGARD,5
ECONOMIC,9
AMERICANS,11
CONFERENCE,3
CALL,7
47,3
AMERICAS,1
GOVERNORS,12
ABLE,6
LATEST,5
PROGRESS,2
MADE,7
CONFIRM,1
TESTING,9
AVAILABLE,10
STATE,10
EVERY,19
OVER,1
MILLION,6
TESTS,16
DISTRIBUTED,2
BEFORE,1
END,4
ANOTHER,2
4,2
DEPLOYMENT,1
SEE,7
DRAMATIC,2
INCREASE,1
AVAILABILITY,2
RESULT,3
LEADERSHIP,9
MOMENTS,2
OUTLINE,2
COMMUNITY,12
GUIDANCE,10
DR,35
BIRX,14
FAUCI,16
PUBLISHING,2
AT,2
PROVIDING,4
KEEP,11
HOME,13
SAFE,11
HEALTHY,5
SCHOOL,6
INFORMATION,10
SPEAKING,6
A,1
WORD,2
GRAND,4
PRINCESS,5
DOCKED,1
AFTERNOON,3
OAKLAND,2
CALIFORNIA,7
DOCK,2
TWENTY,1
FIVE,1
CHILDREN,4
HAPPY,2
25,1
OF,2
CONTRACTED,1
21,1
DEALT,1
PROPER,2
ISOLATION,2
AUTHORITIES,2
HOPE,3
BEGIN,3
DISEMBARK,3
RESIDENTS,1
TRAVIS,2
AIR,5
BASE,4
MIRAMAR,2
ARRANGEMENTS,1
CANADA,2
UK,1
BACK,8
THEYLL,3
TRANSPORTED,2
DIRECTLY,2
TARMAC,2
CHARTER,1
REMAINING,2
CAREFULLY,1
CONTROLLED,1
ENVIRONMENTS,2
BUSES,1
FLOWN,1
MILITARY,1
BASES,1
GEORGIA,3
TEXAS,2
ALL,5
TESTED,18
ISOLATED,1
APPROPRIATE,2
QUARANTINED,2
EXPRESS,1
APPRECIATION,1
GOVERNOR,4
STRONG,2
COOPERATION,3
US,19
RESOLVING,1
IT,7
PARTNERSHIP,1
DIRECTED,2
BEGINNING,2
PROCESS,3
BOB,2
KADLEC,4
DETAIL,2
QUESTIONS,7
CONTINUES,1
WORK,6
MOVE,4
CREW,2
PUSH,1
OBSERVED,1
TREATED,1
SHIPBOARD,2
PRIORITY,1
ASHORE,1
RETURNING,1
FOREIGN,3
NATIONALS,2
LET,22
ONE,11
POINT,6
AS,4
SPOKEN,1
CONGRESSIONAL,1
THINGS,4
INFORMED,2
IVE,4
HEARING,1
CONCERN,1
FEELING,1
EVEN,8
TASKED,2
CONGRESS,1
MAKE,18
SURE,12
ANYONE,2
FEELS,1
LOSING,2
JOB,4
MAY,6
WHEN,2
TELL,6
IF,4
YOURE,7
SICK,3
STAY,1
DEVELOPING,1
POLICIES,1
CLEAR,3
HARDWORKING,2
PUT,8
TOPICS,2
DIDNT,3
WANTED,2
SPEAK,3
CLOSING,1
THINK,20
NEWS,1
TALK,2
VARIOUS,1
ECONOMICALLY,1
THERELL,1
MAJOR,3
COMING,8
MEETINGS,1
SET,1
PRESS,2
SOMETIME,1
EXPLAIN,1
STANDPOINT,2
CAME,5
BLINDSIDED,1
HANDLED,1
THEYVE,2
SO,22
STEPS,2
Q,26
HAVE,2
SIR,5
HAS,4
CONTACT,1
PROXIMITY,1
SOMEBODY,1
ANSWER,4
HONESTLY,1
QUESTION,5
REFER,1
PHYSICIAN,4
QUICKLY,2
ASK,12
COME,9
PODIUM,1
YOU,9
FINGERTIPS,1
COMMUNITIES,8
SEATTLE,3
AREA,4
NEW,6
YORK,2
FLORIDA,2
SPREAD,15
CONCENTRATION,1
CASES,11
HELPFUL,3
RECOMMENDATIONS,3
FAMILY,5
STEP,2
GOOD,9
EVENING,2
REAL,1
SOLUTIONS,1
ROLE,1
STOPPING,1
PRACTICAL,3
COMMON,2
SENSE,2
DETAILED,1
WAY,9
EVERYONE,6
PRECISELY,2
WORKPLACES,1
EAT,1
PRESENT,2
IMPORTANCE,1
BELIEVE,7
CENTER,1
FIELD,1
SOLVED,1
HIV,1
PREVENTION,1
PAPER,3
PROVIDED,1
AUSTRALIANS,1
AUTHOR,1
DALTON,1
LOOK,7
SCIENTIFIC,1
EVIDENCE,1
GUIDELINES,4
MOTHER,2
FATHER,1
CHILD,2
SON,1
DAUGHTER,1
CAREGIVER,1
YEAH,10
JUST,1
REITERATE,2
SIMPLE,2
KINDS,1
CITIZENS,4
VARIETY,1
TELEPHONE,1
CALLS,1
CONFERENCES,1
CDC,11
LONG,3
THOUGHT,1
TOGETHER,4
NEAT,1
FORM,1
GENERAL,5
WHAT,6
MENTIONED,4
GOT,1
MANY,11
EMAILS,1
COLLEAGUES,1
AUSTRALIA,1
DECIDED,1
WRITE,1
BOXES,1
EXACTLY,3
SAYING,4
IDEA,2
CLARITY,1
EDIT,1
LITTLE,1
WORKPLACE,1
THESE,2
TECH,1
THERES,5
NOTHING,1
COMPLICATED,1
STATED,1
UNDERSTAND,6
MIGHT,3
SURGEON,4
ANYTHING,1
REFLECT,3
ADAMS,1
FOLKS,1
LOOKING,6
DATA,2
WHO,1
COMMUNICATE,2
AGE,4
60,1
LIKELY,2
DEVELOP,1
COMPLICATIONS,2
HOSPITALIZED,1
AVERAGE,2
DEATH,1
80,2
NOW,1
YOUNG,5
ADULT,1
DIE,2
FLU,6
PROTECTIVE,1
REASSURED,1
FOCUSING,3
GROUPS,1
HIGHEST,1
HELPING,1
ADVICE,1
DESIGNED,1
VULNERABLE,6
THOUGH,1
ARENT,1
DYING,1
POTENTIALLY,1
OLDER,1
CHRONIC,1
DISEASES,1
PRECAUTIONS,1
WASHING,1
HANDS,1
COVERING,1
COUGH,1
KEEPING,1
DISTANCE,1
EVERYTHING,2
PROTECTED,1
IM,6
RAISES,1
88,1
YEARS,1
MY,1
STEPFATHER,1
TELLS,1
MEMBERS,3
LOVED,1
SENIOR,2
PARTICULARLY,6
UNDERLYING,6
CONDITIONS,6
CONFIRMS,1
CONSEQUENCES,1
MEDIA,1
GOV,6
POSTED,2
TONIGHT,3
USEFUL,2
FAMILIES,4
SCHOOLS,2
ESTABLISHMENTS,1
WELCOME,1
CREATE,1
KIND,1
PRACTICES,2
MITIGATE,3
ACROSS,2
SENIORS,6
SEEMA,1
VERMA,2
RAISED,1
STANDARDS,1
INFECTIOUS,3
DEPLOYING,1
8,1
000,3
INSPECTORS,1
TOLD,3
FOCUS,5
EXCLUSIVELY,1
COMPLIANCE,1
OUR,3
HEARTS,1
BREAK,2
KIRKLAND,1
LOSS,1
LIFE,1
GRIEVOUS,1
SENDING,2
MESSAGE,1
TERM,3
FACILITIES,1
ADDITIONAL,2
LAYER,1
PROTECTION,1
MAYBE,1
GIVE,5
ADMINISTRATOR,1
INFECTION,1
CONTROL,1
ENTIRE,1
HEALTHCARE,3
ISSUED,1
UPPING,1
MAKING,4
GLOVED,1
MASKS,1
PROTECT,5
MEDICARE,3
PROGRAM,4
SUPPORT,5
LETTING,2
PATIENTS,1
COST,1
SHARING,1
ASSOCIATED,1
YEAR,2
HALF,4
AGO,1
EXTEND,1
TELEHEALTH,2
BENEFITS,1
NATIONS,1
HISTORIC,1
CHANGE,1
DOCTOR,2
SKYPE,1
REIMBURSE,1
SERVICES,2
CONVERSATIONS,2
TALKED,1
MEDICAID,1
INVITE,3
DEPUTY,1
SECRETARY,10
HHS,4
FILL,1
DOCKSIDE,2
CAREFUL,1
YES,5
BEGAN,2
MEDICAL,5
OPERATION,1
BASICALLY,3
ON,1
SATURDAY,3
PLACED,1
BOAT,4
AUGMENT,1
PHYSICIANS,1
NURSES,1
ENSURED,1
QUARANTINE,3
ENFORCED,1
EVALUATED,1
IDENTIFYING,1
SEVERELY,1
ARRIVED,1
PERSONNEL,1
BOARD,1
ORDERLY,1
DISEMBARKATION,1
INTENT,1
MEDICALLY,1
SCREENED,2
PHYSICAL,1
ADDITIONALLY,1
TRANSFERRED,2
FOUR,2
SITES,1
NAVAL,1
STATION,1
LACKLAND,1
DOBBINS,1
CANADIANS,1
TAKEN,1
KINGDOM,2
RETURN,1
CITY,1
DEPARTMENT,2
DEFENSE,1
HOMELAND,1
SECURITY,1
U,4
S,4
COAST,2
GUARD,2
OKAY,3
SUBJECT,1
DISCUSSION,1
OUTLINED,1
METHODS,1
LAB,2
RAPIDLY,1
EXPANDING,1
AZAR,4
CONTINUE,6
STRATEGIC,1
PLAN,1
COMPONENTS,1
REPRESENTED,1
DIAGNOSE,1
TREAT,1
CONTAIN,2
RESEARCH,1
CRISIS,3
ELEMENT,1
COURSE,3
DEVELOPED,1
RECORD,1
GENETIC,1
SEQUENCE,1
THAT,2
INDIVIDUAL,4
OFFICIAL,1
NEEDED,2
SURPLUS,1
CAPACITY,1
MOVING,1
PROGRESSIVELY,2
CLOSER,3
PATIENT,4
BEDSIDE,1
EASY,1
USE,3
LINE,4
PEER,1
COUNTRIES,1
FACING,1
SIMILAR,1
EPIDEMIOLOGICAL,1
CIRCUMSTANCES,1
BRIEFING,1
1,3
SHIPPED,5
PRIVATE,4
CONTRACTORS,1
TYPE,1
THOSE,2
VALIDATED,2
OPERATING,1
ADDITION,1
HUNDREDS,1
THOUSANDS,1
HOSPITALS,3
TOTAL,2
2,2
EITHER,1
WAITING,2
ORDERED,1
EXPECT,1
PRODUCING,1
PER,1
ENTITIES,2
USING,2
TECHNOLOGY,1
BETTER,7
EXPERIENCE,3
COLLECT,1
