Word,Frequency
THE,116
PRESIDENT,108
THANK,40
MUCH,19
I,274
GREAT,42
CONVERSATION,2
LEADING,2
FAITH,4
LEADERS,2
COUNTRY,37
IT,21
WENT,6
EXTREMELY,1
WELL,67
WE,48
LEARNED,7
LOT,50
AND,204
WORKING,23
THINGS,26
INTERESTING,2
POSITIVE,12
CALL,6
YESTERDAY,10
UNVEILED,2
DETAILED,1
GUIDELINES,10
AMERICAS,6
GOVERNORS,31
INITIATE,1
PHASED,1
SAFE,4
GRADUAL,1
REOPENING,7
AMERICA,19
THATS,56
WHATS,7
HAPPENING,10
PROVIDE,4
FACT,9
DRIVEN,2
SCIENCE,3
BASED,4
METRICS,1
NEED,46
MAKE,24
DECISIONS,3
RIGHT,36
PARTICULAR,3
STATE,27
TO,6
VIEW,2
GO,32
WEBSITE,4
WHITEHOUSE,2
GOV,5
OPENINGAMERICA,2
SO,87
TREASURY,1
SENT,3
ECONOMIC,2
RELIEF,4
PAYMENTS,6
80,6
MILLION,56
AMERICANS,14
DIRECT,5
DEPOSIT,1
INFORMATION,5
FILE,1
IRS,4
INCREDIBLE,13
SUCCESS,9
IF,23
RECEIVED,2
CHECK,4
PLEASE,15
VISIT,2
GETMYPAYMENT,2
HOW,3
ONE,69
THAT,14
WAY,27
GET,68
PAYMENT,2
DAYS,12
THEYVE,22
DONE,34
FANTASTIC,6
JOB,17
SAY,32
WONT,2
WAIT,2
MAIL,1
GOOD,39
NEWS,3
DEPOSITS,2
LESS,9
1,18
PERCENT,12
EVEN,22
LITTLE,16
PROBLEMS,2
A,16
COUPLE,5
MINOR,2
GLITCHES,1
SUBSTANTIALLY,3
GETS,2
CORRECTED,8
IMMEDIATELY,2
YOULL,13
QUICKLY,6
EASILY,7
TODAY,33
IM,40
ALSO,25
ANNOUNCING,2
SECRETARY,4
PERDUE,3
HAPPENS,5
NEXT,23
HANDSOME,1
MAN,1
DEPARTMENT,1
AGRICULTURE,5
IMPLEMENTING,1
19,8
BILLION,14
DOLLAR,3
PROGRAM,10
FARMERS,14
RANCHERS,10
COPE,1
FALLOUT,1
GLOBAL,1
PANDEMIC,5
VERY,4
HONORED,1
OUR,5
PEOPLE,91
NEVER,13
COMPLAIN,2
THEY,27
INCLUDE,1
MASS,1
PURCHASES,1
DAIRY,2
MEAT,2
AGRICULTURAL,3
PRODUCE,3
FOOD,6
USDA,4
RECEIVE,1
ANOTHER,7
14,5
JULY,2
FUNDING,3
CONTINUE,15
HELP,12
HELPING,7
MONEY,10
DESERVED,1
TARGETED,1
POINT,31
CHINA,12
PERIOD,7
TIME,25
SAW,8
COMPLAINED,1
WORKED,5
TWELVE,1
DOLLARS,6
GOT,18
SIXTEEN,1
GOING,126
ASK,4
EXPLAINEXACTLY,1
HANDLE,1
MR,23
MAY,11
REMEMBER,5
EARLIER,4
YEAR,9
TWEETED,2
MESSAGE,1
MATTER,4
CIRCUMSTANCES,1
PLEDGED,1
STAND,1
BEHIND,4
NONE,1
US,16
COULD,42
EVER,12
ANTICIPATED,1
TYPE,5
CURRENTLY,3
THINK,83
TODAYS,1
ANNOUNCEMENT,2
PROOF,1
YOUVE,7
PUT,17
BACKS,1
TAKES,4
SUPPORT,8
GRATEFUL,1
WEVE,54
HEARD,4
RECENTLY,3
SUPPLY,9
CHAIN,2
KNOWS,2
WHOLESOME,1
FAMILIES,1
DEPEND,1
UPON,3
STARTS,1
HARD,2
HIT,2
LIKE,39
CORONAVIRUS,15
TRUMP,2
STANDING,2
SURE,11
NATIONAL,5
EMERGENCY,4
THANKS,2
DIRECTION,8
LEADERSHIP,3
ASSISTANCE,1
AS,9
MENTIONED,6
NEW,31
TAKE,27
SEVERAL,2
IMMEDIATE,2
ACTIONS,2
ASSIST,2
CONSUMERS,2
RESPONSE,2
COVID,8
REALLY,63
DIVIDED,1
TWO,19
PARTS,5
16,1
PRODUCERS,3
EXPERIENCED,1
UNPRECEDENTED,4
LOSSES,2
SINCE,3
WANTED,10
POSSIBLE,5
DECIDED,1
USE,10
FUNDS,4
CCC,3
CURRENT,6
6,3
5,12
COMBINED,1
RATHER,8
REPLENISHMENT,1
INDUSTRY,2
ESTIMATES,1
DAMAGE,1
BECOMING,1
APPARENT,1
ADDITIONAL,5
TRACK,2
SECONDLY,2
IMPORTANT,14
PURCHASING,1
3,8
FRESH,1
PRODUCTS,1
DISTRIBUTED,5
BANK,2
NETWORKS,1
COMMUNITY,10
ORGANIZATIONS,2
HAVING,1
DUMP,1
MILK,1
PLOW,1
VEGETABLES,1
READY,8
MARKET,8
FINANCIALLY,1
DISTRESSING,1
HEARTBREAKING,1
THIS,19
FINANCIAL,1
ALLOW,4
PURCHASE,1
DISTRIBUTION,2
ABUNDANCE,1
FELLOW,2
RECENT,1
WEEKS,14
SEEN,9
HEROIC,1
PATRIOTISM,1
WORKERS,5
SHOWN,1
DAY,22
WORK,27
SERVE,1
NEEDS,4
FIELDS,1
PLANTING,1
EVERY,27
SPRING,1
FEED,1
AMERICAN,19
SPEAK,3
WANT,71
UNWAVERING,2
COMMIT,1
EVERYTHING,8
POWER,2
IMPLEMENT,3
EFFICIENTLY,1
GOD,3
BLESS,3
SONNY,2
GOVERNOR,10
GEORGIA,2
EIGHT,3
YEARS,9
REASON,7
ISNT,4
STILL,5
FRANKLY,3
TERM,2
LIMITED,1
SAID,36
LETS,9
APPRECIATE,4
PREPARE,1
REBUILD,1
ECONOMY,5
CONTINUES,2
WAGE,1
MEDICAL,9
WAR,3
DEFEAT,1
INVISIBLE,2
ENEMY,3
DATE,1
CONDUCTED,2
78,2
TESTS,65
FAR,9
CLOSE,7
IN,13
HARDEST,1
AREAS,4
YORK,12
LOUISIANA,5
TESTED,2
PER,15
CAPITA,1
SOUTH,1
KOREA,1
SINGAPORE,1
UNITED,15
STATES,69
ROBUST,1
ADVANCED,2
ACCURATE,1
TESTING,67
SYSTEM,13
ANYWHERE,3
WORLD,7
NEARLY,4
660,1
000,44
ABBOTT,6
IDS,1
NOW,14
TEST,64
ITS,39
CALLED,4
ID,6
CARE,26
DIAGNOSTIC,3
HOT,3
PROBLEM,10
BUSINESS,10
SALIVA,1
CAME,6
SELF,1
ADMINISTERED,1
LABORATORIES,9
ROCHE,2
LIKEWISE,2
OVER,1
LAST,8
DRAMATIC,2
INCREASE,5
NUMBER,22
HOSPITALS,18
ACADEMIC,5
INSTITUTIONS,1
PERFORMED,3
600,5
THERE,15
TREMENDOUS,17
AMOUNT,12
UNUSED,2
CAPACITY,23
AVAILABLE,11
TAP,1
CAPABILITY,8
WITHIN,7
HOPE,13
ABLE,16
RESPONSIBLE,3
THEYRE,52
WEEK,10
SENDING,2
SWABS,10
MOSTLY,1
COTTON,3
BIG,7
DEAL,6
YOU,19
BUT,64
CANT,4
FDA,10
ANNOUNCED,3
COLLABORATION,1
HEALTH,29
GROUP,4
GATES,2
FOUNDATION,2
QUANTIGEN,1
U,6
S,6
GREATLY,4
EXPAND,4
ESSENTIAL,1
INCLUDING,8
POLYESTER,1
Q,43
TIP,1
SWAB,6
ALL,4
GROW,1
DRAMATICALLY,1
VENTILATORS,10
WERE,19
KING,1
HUNDREDS,1
THOUSANDS,1
CONSTRUCTION,1
DONT,37
SHAPE,1
STOCKPILE,2
SEND,3
HANDLED,1
SITUATION,6
INCREDIBLY,2
UNDERSTAND,16
WISH,3
MEDIA,9
WOULD,43
WORD,2
WHAT,10
AMAZING,2
EXPENSIVE,1
HIGHLY,2
COMPLEX,1
SPEAKING,3
COUNTRIES,9
SPOKE,4
MEXICO,2
GENTLEMAN,1
TOLD,5
HIGH,10
LEVEL,11
QUALITY,3
MANUFACTURED,1
FOLLOWING,2
PARTISAN,1
VOICES,1
POLITICS,2
SPREAD,5
FALSE,3
MISLEADING,2
TOTALLY,3
DEMONSTRATING,1
COMPLETE,2
FAILURE,1
ENORMOUS,1
SCOPE,1
CAPABILITIES,2
BROUGHT,5
ONLINE,3
STARTED,7
GROUND,1
ZERO,3
OUTDATED,1
OBSOLETE,1
PAST,2
DIDNT,20
UNFORTUNATELY,2
HATE,2
GETTING,7
ALONG,3
REPORTING,2
LOCAL,5
POINTS,5
MAYORS,3
REPRESENTATIVES,1
EVERYBODY,11
PERFECT,1
ALWAYS,2
BETTER,14
BIT,9
DIFFERENTLY,3
VAST,2
AMOUNTS,1
AREA,6
ALMOST,11
INFECTED,15
PLACES,3
LOOKED,8
DIFFERENT,19
YOURE,30
COMING,13
CERTAIN,13
COME,13
START,5
EARLY,8
STAGES,1
PUZZLE,2
PUTTING,5
TOGETHER,12
SOONER,3
LATER,4
DISTANT,1
FUTURE,4
BACK,36
STIMULUS,1
KEEP,5
BUSINESSES,9
LIVES,4
JOBS,1
REMINISCENT,1
HAPPENED,4
REQUESTS,1
MADE,15
BEYOND,5
OBJECTIVELY,1
NEEDED,7
HEARING,6
CASE,2
40,6
TURNED,1
PLENTY,2
7,4
8,2
SUPPLIED,1
GIVE,12
SURGE,1
SEEMS,4
RESEARCH,1
DEVELOPMENT,4
FEDERAL,6
ABSOLUTELY,6
ACCEPTING,1
FIGURES,1
SEE,42
END,13
RESULT,3
ALREADY,12
SEEING,7
INCLUDES,2
BEDS,10
BUILT,5
CASES,16
ERR,1
SIDE,2
CAUTION,1
LONG,12
TALK,21
DO,3
FINAL,1
HOSPITAL,9
ACTUALLY,12
SAVED,2
BUILDING,3
SPECTACULAR,1
JAVITS,2
CENTER,3
SHIP,2
BECAME,1
WASNT,5
SUPPOSED,4
USED,5
PURPOSE,2
CHANGED,1
WILLING,1
SAME,1
QUITE,3
ROOMS,2
PRODUCED,2
2,22
900,3
TELL,9
PREPARED,2
UNDERPREPARED,1
EFFORT,4
NICE,3
INSTEAD,1
NEEDING,2
OCCUPIED,2
SOMETHING,17
HAPPEN,8
CONTROL,3
HEAR,13
EXPERTS,7
SUFFICIENT,3
NATIONWIDE,1
BEGIN,3
REOPENINGS,2
MONTHS,8
MOST,2
EXCITINGLY,1
STEPS,2
TAKEN,2
SAFELY,5
SAFETY,5
FIRST,17
OPENING,4
LOOK,28
NUMBERS,16
DEATH,2
DEATHS,2
IVE,12
LOOKING,15
HIGHER,5
DYING,2
FIGURE,2
LOST,4
500,6
MAYBE,8
CIVIL,1
MINIMUM,1
NOTHING,5
CUT,5
HALF,2
TALKING,15
800,3
HEADING,4
CATEGORY,1
