Word,Frequency
THE,5
PRESIDENT,8
OKAY,2
THANK,3
MUCH,5
AND,12
IM,4
HONORED,1
JOINED,2
REPRESENTATIVES,1
MANY,4
GREAT,4
AMERICAN,5
RETAIL,3
COMPANIES,4
GREATEST,1
ANYWHERE,2
WORLD,3
TALKING,2
TODAY,4
DIFFERENT,1
THINGS,1
INCLUDING,1
DISTRIBUTION,1
MEDICAL,1
DIAGNOSTICS,2
ET,1
CETERA,1
YOULL,1
SEE,3
SECOND,1
THEYRE,1
GOING,5
SAY,4
HELLO,1
FORTY,1
FIVE,1
DAYS,3
AGO,3
ROSE,2
GARDEN,2
LAUNCH,1
NEW,1
PARTNERSHIP,2
PRIVATE,2
SECTOR,1
DRAMATICALLY,1
INCREASE,3
ACCELERATE,1
AMERICAS,2
CAPACITY,3
TEST,1
CORONAVIRUS,3
WEVE,3
MADE,4
STRIDES,1
LIKE,2
WOULDNT,2
EVEN,4
BELIEVE,1
WE,1
CALL,4
GOVERNORS,5
I,7
GUESS,1
EVERYBODY,1
HAPPY,1
TESTING,14
REALLY,3
WELL,6
BEATING,1
ANYBODY,1
ELSE,1
PROBABLY,2
THOUGH,1
WERENT,1
SUPPOSED,1
SURE,1
NO,1
COMPLAINTS,1
SINCE,2
ACHIEVED,1
NOTHING,1
SHORT,2
AMAZING,1
UNITED,2
STATES,6
HOLDS,1
RECORD,1
LOT,4
CONDUCTED,2
5,2
4,2
MILLION,2
TESTS,5
COUNTRY,4
ACTUALLY,1
GROWING,1
RAPIDLY,2
YOU,3
HEARD,2
NUMBERS,1
CAME,1
AFTER,1
ENCOURAGING,1
SEVERAL,1
WEEKS,2
LEVERAGE,1
UNUSED,1
LAST,1
WEEK,1
PROVIDED,1
CONTACT,1
INFORMATION,1
SPECIFIC,2
LABS,4
COULD,1
FIND,1
ADDITIONAL,1
WITHIN,1
48,1
HOURS,1
NUMBER,2
PERFORMED,1
ACROSS,3
BEGAN,1
SKYROCKET,1
EARLY,3
APRIL,1
AVERAGED,1
APPROXIMATELY,1
150,2
000,4
PER,2
DAY,3
THATS,1
SUBSTANTIALLY,2
COUPLE,2
GONE,1
WAY,1
200,1
WEDNESDAY,1
THIS,2
INCLUDES,1
122,1
PERCENT,2
MICHIGAN,1
124,1
MARYLAND,1
LOCATIONS,2
RIGHT,3
VICINITY,1
LITTLE,3
BIT,1
HIGHER,1
TO,1
PROVIDE,1
GUIDANCE,1
SUPPORT,2
RELEASING,1
BLUEPRINT,1
STATE,2
PLANS,2
RAPID,1
RESPONSE,1
PROGRAMS,1
TOGETHER,5
ACCELERATING,1
AMERICANS,1
ESPECIALLY,1
AFRICAN,2
HISPANIC,2
COMMUNITIES,2
WERE,1
STRONG,1
THERE,1
CURRENTLY,1
73,1
SITES,2
25,2
AREAS,1
INCREASING,1
A,1
PROGRESS,4
ASIAN,1
SO,3
LOOK,2
FORWARD,2
HEARING,2
INCREDIBLE,1
BUSINESS,1
PEOPLE,2
WORKED,1
STRONGLY,1
US,2
BEGINNING,1
THINK,2
IT,1
45,2
GOT,2
THOUGHT,1
MAYBE,2
WED,1
GO,1
AROUND,2
ROOM,1
THEYD,1
WORDS,1
NEWS,3
CONFERENCE,3
FOLKS,1
JOINING,1
THEYLL,1
SOMETHING,1
THEYVE,1
BIG,1
GIFT,1
NATION,2
APPRECIATE,1
START,1
SMALL,2
COMPANY,2
RETAILING,1
KNOWN,1
WALMART,3
HEADED,1
GUY,1
DOUG,2
PLEASE,1
MR,12
MCMILLON,2
NICE,1
MERLO,2
LARRY,1
CVS,2
HEALTH,2
RUSCKOWSKI,2
STEVE,1
QUEST,1
ASHWORTH,2
RICHARD,1
WALGREENS,2
CASPER,2
MARC,1
THERMO,1
FISHER,1
SCIENTIFIC,1
SCHECHTER,2
ADAM,1
LABCORP,1
MCMULLEN,2
RODNEY,1
KROGER,1
NIMS,2
JOHN,1
U,1
S,1
COTTON,1
MS,1
DONIGAN,2
HEYWARD,1
RITE,1
AID,1
KNOW,2
GENTLEMAN,1
LAUGHTER,1
TREMENDOUS,1
MIKE,2
WOULD,1
ANYTHING,1
VICE,1
WORD,1
THANKS,1
ITS,1
REMARKABLE,2
SPEAK,2
BROUGHT,3
RETAILERS,3
COMMERCIAL,4
BUILT,1
PUBLIC,1
FORGED,1
EPIDEMIC,1
FIRST,1
SAT,1
DIRECTION,1
MARCH,1
4TH,1
ROUGHLY,1
TARGET,1
OTHERS,1
SCALING,1
WORKING,3
IMPLEMENT,1
SAID,1
WHOLE,1
AMERICA,2
APPROACH,1
BEST,1
LABORATORIES,1
RESULTS,1
AS,1
EXPANDING,1
MOVE,1
TOWARD,1
PHASED,1
RESPONSIBLE,1
REOPENING,1
NATIONS,1
ECONOMY,1
GLAD,1
BACK,1
GROUP,1
GRATEFUL,1
COLLABORATION,1
TABLE,1
CONTINUE,1
BUILD,1
MOMENTUM,1
MAKING,1
EXTRAORDINARY,1
DONE,1
PERIOD,1
TIME,1
OUTSIDE,1
