Word,Frequency
THE,76
PRESIDENT,76
THANK,27
MUCH,18
OUR,11
NATION,6
ENGAGED,1
HISTORIC,3
BATTLE,1
INVISIBLE,3
ENEMY,3
TO,4
WIN,2
FIGHT,1
UNDERTAKEN,1
GREATEST,3
NATIONAL,5
MOBILIZATION,1
SINCE,3
WORLD,11
WAR,7
TWO,13
AND,118
THATS,32
EXACTLY,2
WEVE,27
MARSHALED,2
EVERY,23
INSTRUMENT,1
AMERICAN,17
POWER,1
UNLEASHED,1
POTENT,1
WEAPON,1
COURAGE,1
PEOPLE,52
THESE,4
TRYING,6
TIMES,4
A,6
CRUEL,1
VIRUS,8
DISTANT,2
LAND,2
UNFAIRLY,1
CLAIMED,1
THOUSANDS,6
PRECIOUS,1
LIVES,4
CITIZEN,1
LOST,3
CHERISHED,1
LOVED,1
ONE,34
YOUR,1
PAIN,2
WE,44
MOURN,1
FAMILY,2
COUNTRY,35
COME,14
TOGETHER,13
DRAW,1
SOLACE,1
FAITH,1
GOD,1
RECEIVED,1
DEPARTED,2
HE,2
TAKEN,4
ETERNAL,1
LOVING,1
EMBRACE,1
THEY,19
NEVER,3
FORGOTTEN,1
OVER,3
LAST,7
WEEKS,8
MONTHS,2
MILLIONS,3
AMERICANS,10
JOINED,2
SHARED,1
SACRIFICE,1
HALT,1
SPREAD,6
HORRIBLE,1
DISEASE,9
ARMY,4
BUILT,7
FIELD,1
HOSPITALS,7
SPORTS,5
ARENAS,6
CONVENTION,1
CENTERS,3
CORPS,3
ENGINEERS,3
GREAT,30
20,2
000,17
BEDS,2
RECORD,1
TIME,25
NAVY,1
SAILED,1
HOSPITAL,4
SHIPS,1
BIGGEST,1
CITIES,1
LIFESAVING,1
SUPPLIES,3
EXPERIMENTAL,1
MEDICINES,1
RUSHED,1
FRONTLINES,2
LAUNCHED,2
RAPID,1
SEARCH,1
GROUNDBREAKING,1
TREATMENTS,1
VACCINES,2
ADVANCED,3
ROBUST,3
TESTING,37
ANYWHERE,4
DONE,33
SUSPENDED,1
DANGEROUS,2
FOREIGN,3
TRAVEL,8
LEVERAGED,1
INDUSTRIAL,1
BASE,1
PRODUCE,1
VAST,1
QUANTITIES,1
CRITICAL,4
MEDICAL,7
GEAR,1
ENACTED,1
2,7
TRILLION,1
DOLLAR,1
RELIEF,2
PACKAGE,1
THROUGH,2
SEEN,4
HEROISM,1
DOCTORS,3
NURSES,1
LIKE,23
WARRIORS,1
BRAVERY,3
TRUCK,1
DRIVERS,1
FOOD,2
SUPPLIERS,1
INCREDIBLE,18
DETERMINATION,2
DRIVE,2
CITIZENS,5
UNIFIED,1
ENDEAVOR,1
MADE,9
PROGRESS,4
YOU,18
COULD,10
REALLY,32
SAY,15
EXPERTS,7
SCIENTISTS,5
REPORT,2
STRATEGY,4
SLOW,1
SAVED,2
HUNDREDS,2
MODELS,1
PREDICTED,1
1,2
5,5
MILLION,9
U,1
S,1
DEATHS,6
MITIGATION,10
EVEN,15
HIGHER,2
100,5
240,1
ITS,18
LOOKING,3
FAR,6
LOWEST,2
NUMBERS,4
THANKS,3
MILITARY,4
OPERATION,3
EXTRAORDINARY,2
DEVOTION,1
BELIEVE,8
EXPERIENCE,1
FEWER,1
OPTIMISTIC,2
PROJECTION,2
BUT,40
THING,24
DEATH,4
PERSON,2
MANY,22
CURVE,2
FLATTENED,1
PEAK,5
NEW,38
CASES,23
BEHIND,1
US,24
NATIONWIDE,1
850,1
COUNTIES,1
NEARLY,1
30,5
PERCENT,5
REPORTED,4
SEVEN,1
DAYS,13
BECAUSE,6
EARLY,16
AGGRESSIVE,1
ACTION,2
AVOIDED,1
TRAGEDY,1
HEALTHCARE,8
RATIONING,1
DEADLY,1
SHORTFALLS,1
BEFALLEN,1
NATIONS,3
WHEREVER,1
POSSIBLE,3
HELPING,2
IN,14
AMERICA,11
NEEDED,2
VENTILATOR,6
DENIED,1
WERE,23
MAKING,5
VENTILATORS,9
DELIVERED,1
STATES,59
ACTUALLY,8
STARTED,2
LITTLE,9
ENDED,1
LOT,27
UNITED,4
ACHIEVED,1
SIGNIFICANT,1
LOWER,1
MORTALITY,1
RATE,3
ALMOST,5
COUNTRIES,8
BASED,4
LATEST,1
DATA,7
TEAM,4
AGREES,1
BEGIN,3
NEXT,21
FRONT,1
CALLING,3
OPENING,16
UP,4
AGAIN,8
WANTS,4
OPEN,18
WANT,47
AS,8
I,147
SAID,21
SHUTDOWN,2
SUSTAINABLE,1
LONG,7
TERM,2
SOLUTION,1
PRESERVE,2
HEALTH,22
MUST,5
ALSO,14
FUNCTIONING,1
ECONOMY,7
HAUL,1
CANT,4
WITHOUT,7
IT,17
CANNOT,2
KEEP,8
VITAL,2
SUPPLY,2
CHAINS,2
RUNNING,3
CARE,9
DELICATELY,1
THEYRE,53
DELICATE,2
BALANCE,1
DELIVER,1
WORKING,14
GET,33
BACK,35
QUICKLY,10
WHATS,10
GOING,100
HAPPEN,6
BOOM,1
PROLONGED,1
LOCKDOWN,1
COMBINED,1
FORCED,2
ECONOMIC,2
DEPRESSION,1
WOULD,17
INFLICT,1
IMMENSE,1
WIDE,4
RANGING,1
TOLL,1
PUBLIC,17
THIS,15
INCLUDES,2
SHARP,1
RISE,2
DRUG,1
ABUSE,2
ALCOHOL,1
SUICIDE,1
HEART,2
DIMENSIONS,1
PHYSICAL,6
MENTAL,1
WELLBEING,1
MOREOVER,1
PATIENTS,3
PUT,11
HOLD,2
CREATING,1
ENTIRELY,1
HAZARDS,1
SUFFERED,3
HUNDRED,2
EIGHTY,2
FOUR,9
THEREFORE,1
ADMINISTRATION,3
ISSUING,1
FEDERAL,7
GUIDELINES,16
ALLOW,6
GOVERNORS,30
TAKE,7
PHASED,2
DELIBERATE,1
APPROACH,5
REOPENING,5
INDIVIDUAL,1
IVE,7
DEALT,1
RELATIONSHIP,3
DEMOCRAT,4
REPUBLICAN,3
GOOD,18
HARD,11
VERIFIABLE,1
DR,33
BIRX,17
LEADERSHIP,2
CRAFTING,1
CONSULTATION,1
PROFESSIONALS,1
ACROSS,10
GOVERNMENT,10
EXPLAIN,2
DETAIL,3
MOMENTS,1
FAUCI,12
ABSOLUTELY,1
TERRIFIC,2
WORKED,7
WELL,37
INTERESTED,2
VIABILITY,1
TRULY,2
TOOK,2
HISTORY,1
CLOSED,5
ORDER,4
PROCESS,6
WINNING,1
OUTLINES,1
THREE,7
PHASES,9
RESTORING,1
LIFE,3
CAREFUL,2
STEP,2
ABLE,33
SOONER,4
OTHERS,6
SOME,7
KIND,2
TROUBLE,1
NOW,6
PASSED,1
STARTING,5
REJUVENATION,1
SAFE,2
STRUCTURED,1
RESPONSIBLE,2
FASHION,1
CONTINUE,19
PROTECT,3
SENIOR,4
VULNERABLE,13
POPULATIONS,4
ALLOWING,2
GROUPS,5
INCREDIBLY,1
TALENTED,2
GO,41
REAL,2
BUSINESS,5
SUPPOSED,3
WORK,18
NOBODY,6
BETTER,11
THANKFUL,1
THEYVE,13
HEALTHY,1
RETURN,4
CONDITIONS,1
GROUND,1
INSTEAD,1
BLANKET,1
PURSUE,1
FOCUS,4
SHELTERING,1
HIGHEST,1
RISK,6
INDIVIDUALS,13
SO,51
IMPORTANT,8
ESTABLISHING,1
CLEAR,6
SCIENTIFIC,2
METRIC,1
BENCHMARKS,2
CASE,6
GROWTH,1
CAPACITY,20
MET,3
ADVANCING,1
PHASE,25
SPECIFICALLY,2
GRADUAL,2
CASELOAD,1
STATE,21
CONTINUES,1
RESTRICTIONS,2
EASED,1
THROUGHOUT,8
CALLED,4
UPON,1
USE,7
WEAPONS,3
VIGOROUS,1
HYGIENE,2
TELEWORKING,3
STAYING,3
HOME,7
FEEL,5
SICK,4
MAINTAINING,2
SOCIAL,3
DISTANCE,2
SANITIZING,1
COMMONLY,1
USED,8
SURFACES,2
HIGHLY,3
CONSCIOUS,1
SURROUNDINGS,1
THOSE,2
POWERFUL,4
INDEED,1
EMPOWERED,1
TAILOR,1
MEETS,1
DIVERSE,1
CIRCUMSTANCES,1
DIFFERENT,12
BEAUTIFUL,4
LOVE,3
IF,13
NEED,14
REMAIN,4
REOPEN,4
PROVIDE,3
FREEDOM,1
GUIDANCE,5
ACCOMPLISH,2
TASK,7
DEPENDING,3
ENCOURAGING,1
HARMONIZE,1
REGIONAL,1
EFFORTS,3
NUMEROUS,1
CLOSELY,4
KNOW,34
CONTINUED,3
HARDSHIPS,1
CHALLENGES,1
AHEAD,6
GOAL,1
IDENTIFY,2
ADDRESS,1
OUTBREAKS,1
RAPIDLY,3
RETURNS,1
FALL,3
THINK,49
MAY,12
POSSIBLY,2
ENSURE,6
LIKEWISE,2
AT,4
ROLE,1
RESEARCH,1
ESPECIALLY,4
THERAPIES,5
SIGNIFICANTLY,3
IMPROVE,1
OUTCOMES,2
HIGH,5
REDUCE,1
URGENT,1
TREMENDOUSLY,1
VALUABLE,1
EVENTUALLY,1
NORMAL,14
LEAST,3
35,1
CLINICAL,1
TRIALS,1
ALREADY,10
UNDERWAY,2
INCLUDING,11
ANTIVIRAL,1
IMMUNE,2
BLOOD,1
FORM,3
CONVALESCENT,1
PLASMA,1
YOUVE,5
HEARD,7
EVENTS,3
WAY,15
EXPAND,2
COMPLETED,1
3,2
TESTS,29
AREAS,9
HOTSPOTS,1
PER,5
CAPITA,1
BASIS,5
SOUTH,4
KOREA,4
JOB,10
ADVISE,1
CONDUCT,1
SURVEILLANCE,14
DIAGNOSTIC,3
DISTRIBUTED,2
600,1
ABBOTT,1
ID,4
POINT,11
SITE,2
WITHIN,1
FIVE,3
MINUTES,1
ANSWER,4
POSITIVE,3
NEGATIVE,1
RECENT,1
DRAMATIC,1
INCREASE,1
NUMBER,16
PERFORMED,2
ACADEMIC,1
INSTITUTIONS,1
120,1
RECENTLY,2
SINGLE,4
DAY,14
EVER,6
SOLUTIONS,2
ONLINE,1
SEEING,5
ADDITIONAL,6
REFLECTED,2
FOR,3
REASON,4
PROCESSED,1
COMMERCIAL,3
LABORATORIES,7
DROPPED,3
APPROXIMATELY,1
ROUGHLY,1
75,1
WEEK,10
DONT,19
TREMENDOUS,4
FREE,1
MEDIA,1
FALSELY,1
BAD,5
FACT,5
INDICATES,1
MOVING,4
FASTER,2
LOCAL,9
SPOT,1
DROP,1
UTILIZATION,1
AFFIRMATION,1
GROWING,2
WORDS,1
FORMS,1
QUICKER,2
ADVISING,1
EXCESS,1
AVAILABLE,2
CAPABILITIES,1
COMING,4
ONTO,1
MARKET,1
SCIENCE,2
EXTRA,1
VIGILANT,2
BLOCKING,1
ENTRY,2
ABROAD,1
BORDER,1
CONTROL,5
LIMITATIONS,1
CHECK,1
SACRIFICES,1
CRISIS,2
REMEMBERED,1
STUDIED,1
HONORED,1
PRAISED,1
GENERATIONS,1
CONSERVATIVE,1
LIBERAL,1
PARTIES,1
READY,6
OCCASION,1
SHOW,2
DEFEAT,1
CHALLENGER,1
REBUILD,1
RECLAIM,1
MAGNIFICENT,1
DESTINY,1
SHARE,1
CARRY,1
FORWARD,3
HEIGHTS,1
GREATNESS,1
GLORY,1
ASK,3
VICE,9
MIKE,5
PENCE,2
MAN,1
DEVOTED,1
24,1
HOURS,1
FORCE,6
PLEASE,16
MR,21
MEMBERS,4
WHITE,3
HOUSE,5
CORONAVIRUS,8
TODAY,14
MEET,2
BIPARTISAN,4
GROUP,1
SENATE,2
COUNSEL,1
DEVELOPMENT,1
UNVEILED,1
AMERICAS,2
AFTERNOON,3
PRODUCT,1
BEST,6
COMMON,2
SENSE,4
BROAD,1
RANGE,1
ADVISORS,1
FROM,1
MOMENT,1
TRUMP,4
ESTABLISHED,1
PRIORITY,1
SAFETY,9
WHOLE,2
STAND,2
640,1
CONTRACTED,1
HEARTS,1
FAMILIES,1
31,1
STRUGGLE,1
SERIOUS,1
CONSEQUENCES,1
TRUTH,1
DECISIVE,1
SUSPENDING,1
CHINA,3
THEREAFTER,1
PORTIONS,1
EUROPE,1
SCREENING,2
PASSENGERS,1
STRONG,2
ACTIONS,2
PARTNERSHIP,3
GOVERNOR,8
WORKERS,7
COOPERATION,1
GODS,1
GRACE,2
SLOWING,1
FLATTENING,1
PRESERVED,1
SYSTEM,2
PROTECTED,1
WORD,1
LEVEL,3
FELLOW,1
COMFORTED,1
SEE,24
CHARTS,3
ILL,7
PRESENT,3
MAPS,1
TRACK,1
INFLUENZA,10
ILLNESS,6
INSTANCE,2
MOSTLY,1
FIRST,15
MAP,4
REFLECTS,2
TOTAL,4
ENDING,2
MARCH,4
28TH,1
APRIL,3
4,2
FINAL,1
REFLECTING,1
11TH,1
WITH,2
TRENDS,1
TASKED,1
DEVELOP,2
PRESENTED,1
INTENTION,1
PRESIDENTS,2
DIRECTION,3
ASSIST,1
OFFICIALS,6
EVALUATING,1
MANNER,2
ECONOMIES,3
CHOOSING,1
NOTE,1
CRITERIA,7
DEVELOPED,2
DOWNWARD,3
TRAJECTORY,3
14,6
PERIOD,7
ENSURING,5
PROPER,1
FACILITIES,6
SECOND,4
SET,2
PROPOSALS,1
DESCRIPTION,1
RECOMMENDATIONS,2
PREPAREDNESS,1
LET,6
FEMA,3
STATISTICS,1
HOPE,5
