Word,Frequency
THE,68
PRESIDENT,122
THANK,47
MUCH,16
WE,43
COMPLETED,3
GOOD,24
MEETING,6
CORONAVIRUS,19
TASK,7
FORCE,7
AND,127
REALLY,22
THEYRE,33
GREAT,12
JOB,11
PROFESSIONALS,2
RESULTS,7
COMPARE,3
WHATS,5
HAPPENING,2
AROUND,15
WORLD,6
PROUD,2
PEOPLE,85
THERES,13
TREMENDOUS,6
AMOUNT,2
COORDINATION,1
STATES,13
CITIES,1
LITTLE,10
SMALLER,2
FORM,1
GOVERNMENT,13
THINGS,28
GOING,62
WELL,48
COORDINATING,1
US,35
CERTAIN,8
PARTICULAR,4
I,143
THINK,33
CALIFORNIA,3
TERRIFIC,1
RELATIONSHIP,1
NEW,20
YORK,3
WEVE,25
RELATIONSHIPS,1
TERMS,7
ESPECIALLY,5
HOTSPOTS,2
FOCUSED,3
IN,7
AREAS,6
DONT,23
PROBLEM,3
WHATSOEVER,1
HOPE,3
KEEP,5
WAY,11
BEFORE,1
TURN,1
VICE,47
PROVIDE,4
UPDATE,3
WANT,61
EXPRESS,1
APPRECIATION,1
HARD,5
WORK,8
DONE,11
BEHIND,6
BACK,13
VARIOUS,2
OFFICES,1
INCLUDING,6
FACT,3
LEFT,1
OVAL,3
OFFICE,7
SO,51
PROBABLY,5
WATCHING,4
WORKING,26
WERE,12
USING,2
FULL,2
POWER,3
FEDERAL,11
DEFEAT,1
VIRUS,10
THATS,27
LAST,24
WEEK,8
SECURED,1
INITIAL,2
8,3
3,2
BILLION,4
CONGRESS,7
QUICKLY,11
EFFICIENTLY,1
MEMBERS,6
YESTERDAY,26
DECLARED,3
NATIONAL,5
EMERGENCY,6
BIG,8
DEAL,2
OPENED,1
AVENUES,1
WOULD,18
NEVER,4
ABLE,10
OPEN,1
WITHOUT,2
MAKE,20
50,7
AVAILABLE,9
IMMEDIATELY,4
DISASTER,1
RELIEF,2
FUNDS,1
TERRITORIES,2
LOCAL,11
GOVERNMENTS,3
ALSO,46
REACHED,2
AGREEMENT,3
LEGISLATIVE,1
PACKAGE,1
STRONG,5
SUPPORT,10
AMERICAN,30
FAMILIES,4
COMMUNITIES,6
DEALING,1
BIPARTISAN,8
IT,11
NICE,2
SEE,15
COOPERATION,2
SECRETARY,31
TREASURY,5
STEVE,1
MNUCHIN,6
FANTASTIC,4
WORKED,4
NANCY,1
PELOSI,3
REPRESENTATIVES,3
LOT,22
BENEFITTING,1
PROVISIONS,1
BILL,9
DISCUSSING,1
TODAY,8
PROVISION,3
SOMETHING,9
TALK,6
HONORED,1
STOCK,3
MARKET,3
MOSTLY,1
SET,3
RECORD,6
SHORT,1
PERIOD,4
TIME,14
45,1
MINUTE,3
PRESS,6
CONFERENCE,3
ROSE,2
GARDEN,2
THAT,6
ALL,2
ONE,14
EVERY,12
DAY,19
PERHAPS,3
HOW,2
FIVE,3
TIMES,4
BUT,47
WATCH,1
IDEA,1
WALKED,1
SAID,27
THEY,12
SIR,11
HISTORY,2
PRETTY,3
COMPANIES,7
COULDNT,4
UNHAPPY,1
EITHER,2
PUBLICLY,1
LISTED,1
IMPORTANTLY,3
WHEN,5
LOOK,17
CVS,2
WALMART,2
BIGGEST,2
BEST,9
OPENING,3
FACILITIES,2
RIGHT,19
LITERALLY,6
EXTENT,1
PROVIDES,4
FREE,6
TESTING,20
AMERICANS,10
TESTED,9
GETTING,9
PAY,3
GEE,1
MONEY,7
ITS,10
KNOW,35
COMPLEX,2
TEST,14
ACTUALLY,7
COSTS,1
PROVIDED,1
WORRY,2
PAID,11
SICK,6
FAMILY,6
MEDICAL,5
LEAVE,4
NEED,18
CAREGIVERS,1
LOOKING,10
CHILDREN,3
AFFECTED,3
SCHOOL,3
CLOSURES,3
TAKEN,6
CARE,8
CONTINUE,16
DIFFERENT,9
ACTIONS,2
PLANNED,1
FINANCIALLY,1
OUR,3
COUNTRY,15
FINANCIAL,7
SHAPE,2
PAST,5
YEARS,2
IF,11
REAL,1
CRISES,1
PROBLEMS,6
TRADE,1
AMAZING,1
RESERVE,3
FINALLY,9
GET,36
BOARD,2
FRANKLY,4
TOGETHER,13
PROACTIVE,3
OTHER,1
BOARDS,1
COUNTRIES,9
REPRESENTING,1
TAKING,7
AGGRESSIVE,1
ACTION,4
FED,10
PART,4
WED,1
LIKE,14
CENTRAL,3
BANKS,3
IMPORTANT,13
MEANTIME,1
RECEIVED,3
NOW,8
GUESS,1
SAW,7
END,7
TELL,6
RESPIRATORS,1
MASKS,3
MADE,17
MILLIONS,4
PLENTY,2
ORDERING,2
WORST,2
CASE,2
SCENARIO,2
ALWAYS,5
SAY,14
EVERYBODY,5
24,4
HOURS,7
REPRESENTATION,1
FAIR,2
FOR,2
NOBODY,1
EXPECTED,1
CAME,1
CHINA,8
HAPPENED,3
NOBODYS,1
FAULT,1
SOLVE,2
INCREDIBLE,3
THEYVE,3
ACTED,1
SPORTS,2
LEAGUES,1
SPECIAL,1
TOLD,3
NECESSARILY,1
CASES,12
DEATH,2
AS,6
MOMENT,6
DEATHS,4
DECISIONS,7
NUMBER,14
COULD,7
MANY,20
BASED,7
TWO,10
YOU,17
EUROPE,4
HOTSPOT,2
DECISION,11
QUITE,1
BIT,8
PRIOR,1
QUESTIONS,9
GROUP,7
HAPPY,5
LED,1
MIKE,1
PENCE,3
20,5
THIS,10
MAN,1
MAYBE,7
IS,5
TONY,2
IM,17
WHOLE,6
CREATED,1
STARS,1
GENTLEMAN,1
WATCHED,2
APPRECIATE,4
ANSWERING,1
INFORMATION,5
YOULL,2
FIND,1
INTERESTING,1
ILL,6
Q,38
MR,25
SENDING,3
MIXED,4
MESSAGES,3
RUSHING,2
COSTCO,2
GROCERY,1
STORES,2
FILLING,1
BASKETS,1
MOVE,7
DO,3
SAYING,5
CONSERVE,1
OPPOSED,2
BUY,1
OVERNIGHT,2
APPLE,2
ANNOUNCED,9
CLOSING,1
WEEKS,7
RETAIL,2
OUTLETS,1
RESTAURANTS,1
STUFF,1
THING,11
FINE,2
AWAY,5
JUST,5
GETS,2
BETTER,3
BUYING,1
UNDERSTAND,7
BY,1
TEMPERATURE,6
COMING,9
ROOM,2
YES,8
LETS,10
YEAH,8
MEANS,5
TOOK,4
NIGHT,18
TAKE,19
DECIDED,1
ASKING,2
RESULT,1
WHATEVER,6
TAKES,3
A,2
DAYS,10
SEND,1
LAB,1
IVE,4
WHY,2
DECIDE,1
YOUVE,5
ONLY,1
CRAZY,1
RESPECTFULLY,1
SHOOK,1
HANDS,7
TALKED,4
5,6
MILLION,2
TESTS,2
WONT,1
HAS,1
SENSE,5
URGENCY,1
EVOLVED,2
CHANGING,2
YOURE,20
NO,7
URGENT,2
BEGINNING,1
CLOSED,3
SHAKING,5
BECAUSE,3
ALMOST,2
BECOMES,1
HABIT,2
NON,2
HAND,6
SHAKER,1
BELIEVED,1
BECOME,2
POLITICIAN,1
NOTICE,1
POLITICAL,1
WALK,1
SHAKE,3
MESSAGE,2
WAIT,2
EASY,3
OKAY,4
RELAX,1
COME,8
PUT,14
SORT,2
NATURAL,1
REFLEX,1
SOMEBODY,5
COMES,5
TEND,1
AGREE,1
SOMETIMES,2
THINKING,2
TOUCHED,2
MICROPHONE,2
TOUCHING,1
HEIGHT,1
TRYING,3
TOUCH,4
WOULDNT,4
REACH,1
MIC,3
SPEAK,9
OH,1
MIGHT,3
MEAN,8
POSSIBLY,2
SHOULDNT,2
LONG,6
TERM,2
TRANSMIT,1
FLU,2
KILLS,1
AVERAGE,4
36,2
000,6
YEAR,5
TALKING,4
LOST,1
LESS,3
TRY,3
LOW,11
POSSIBLE,3
PENTAGON,1
TELLING,1
SERVICE,1
TRAVEL,21
DOMESTICALLY,2
SHOULD,1
FOLLOW,6
ADVICE,1
INFECTED,1
FAR,4
GIVEN,4
CREDIT,1
DESERVE,1
CAUSES,1
SIGNED,1
STAYING,2
HOME,11
PARENTS,3
ISSUE,3
PASSED,5
GO,14
SENATE,4
SIGN,1
HAPPEN,1
WHITE,8
HOUSE,18
ANYTHING,2
CROSS,2
WANTED,6
ARE,3
CONSIDERING,3
RESTRICTIONS,11
REGARD,5
CAN,3
DESCRIBE,4
TYPE,1
SPECIFICALLY,2
REUTERS,1
REPORTING,4
EXTEND,1
EUROPEAN,1
BAN,1
UK,8
IRELAND,8
MONDAY,10
ACCURATE,1
SERIOUSLY,1
ACTIVITY,1
UNFORTUNATELY,1
ALREADY,6
LOOKED,1
CRITICIZED,1
YET,3
CLARITY,1
HALLMARK,1
PRESIDENCY,1
FEEL,1
STRONGLY,1
DISMISS,1
CHAIRMAN,2
OR,1
POWERLESS,1
REMOVE,2
HES,2
BAD,1
OPINION,2
SOON,2
BOUNCE,2
PENT,1
FOLLOWING,3
LEADING,2
LARGELY,1
LOWER,3
RATE,4
EQUIVALENT,1
POINTS,2
SUBSTANTIALLY,1
THOUGHT,3
CURRENCY,3
FACTOR,1
DOLLAR,2
STRENGTH,2
HIGHER,3
COMPETITOR,1
NATIONS,4
GERMANY,2
ESSENTIALLY,2
ZERO,1
NEGATIVE,15
THERE,3
JAPAN,1
OTHERS,6
PAYING,1
INTEREST,3
RATES,1
ID,4
REFINANCE,2
DEBT,2
EASILY,1
OPPORTUNITIES,1
JEROME,1
POWELL,1
MAKING,7
INAUDIBLE,2
REGULAR,1
POSITION,1
ELSE,3
CHARGE,1
HAVENT,1
WAS,1
NORMAL,3
TOTALLY,1
WASNT,1
AFTERNOON,4
EVERYONE,3
SITUATION,5
IMPLEMENT,5
PRESIDENTS,10
VISION,1
RESPONSE,4
AMERICA,5
APPROACH,2
FOCUS,2
FORWARD,6
IMPLEMENTING,5
PUBLIC,13
PRIVATE,15
PARTNERSHIP,6
FOCUSING,1
ENSURING,1
STATE,11
AUTHORITIES,4
GUIDANCE,10
ENSURE,10
MITIGATION,2
PARTICULARLY,10
SEEN,6
COMMUNITY,7
SPREAD,8
CONTINUING,1
LEAN,5
DIRECTION,1
ADDRESSING,1
CAPACITY,3
ISSUES,4
HOSPITALS,3
EQUIPMENT,1
LET,18
REITERATE,3
GRATITUDE,1
TEAM,7
AGENCIES,1
BRING,5
COMMEND,3
GOVERNORS,5
ACROSS,5
SPEAKING,2
TOMORROW,9
GRATEFUL,8
SEAMLESS,3
PLACE,1
HEALTH,23
FRONTLINES,2
BUSINESSES,8
HIGH,3
ENTERTAINMENT,2
CDC,7
GUIDELINES,2
COMMON,1
PROTECT,16
LASTLY,1
LISTENING,2
RECOMMENDATIONS,5
HEAR,4
DR,27
FAUCI,12
BIRX,12
SEEING,2
SURPRISINGLY,1
RESPONDING,1
STORY,2
ANOTHER,1
TRULY,1
INSPIRING,1
BRISK,1
FREEING,1
SIGNIFICANT,3
RESOURCES,6
UNPRECEDENTED,3
OCLOCK,4
DETAILING,1
PROGRESS,3
CLOCK,4
PLEASED,1
THERMO,2
FISHER,2
APPROVED,1
FDA,1
PROVIDING,3
CALLED,1
THROUGHPUT,2
INCREASE,1
DETAILS,6
SITES,4
WALGREENS,1
LOCATIONS,2
INITIALLY,1
WEBSITE,12
ONLINE,1
ROLL,2
00,4
P,1
EASTERN,3
STANDARD,3
DETAIL,5
LEGISLATION,10
ADDRESSED,1
PRIORITIES,3
TRUMP,5
LAID,1
JOIN,3
THANKING,2
SPEAKER,5
LEADER,3
MCCARTHY,3
REPUBLICANS,2
DEMOCRATS,1
EARLIER,2
PULLED,2
PASS,1
FIRST,12
SPIRIT,2
EXPECT,4
CLEAR,7
HEAD,2
EARLY,4
NEXT,3
DELIVERS,2
PLAN,2
ECONOMIC,3
IMPACTED,7
HARDWORKING,2
BLUE,1
COLLAR,1
MAY,12
CURRENTLY,1
UNINSURED,2
BUILDS,1
EXPANDING,2
COVERAGE,1
MEDICARE,2
MEDICAID,2
COMMITMENT,1
INSURANCE,2
WAIVE,1
CO,1
PAYS,1
PROGRAMS,1
EVEN,2
ESTABLISHES,1
TAX,4
CREDITS,3
RELATED,1
EMPLOYMENT,2
INTERRUPTIONS,1
CONCERNED,2
HOURLY,1
WAGE,1
EARNER,1
STAY,1
MISS,1
PAYCHECK,1
MOVING,2
SURE,16
EMPLOYER,2
SMALL,5
ABILITY,3
FUNDING,1
FLEXIBILITY,2
SENIOR,4
CITIZENS,5
WOMEN,3
INCOME,1
ACCESS,4
NUTRITIONAL,1
ASSISTANCE,2
INCENTIVIZES,1
EASE,1
BENEFITS,1
AGAIN,4
PROFOUNDLY,1
DROVE,1
NEGOTIATING,1
MEASURE,1
MIDNIGHT,9
DEPARTMENT,4
HOMELAND,2
SECURITY,4
IMPLEMENTED,1
SUSPEND,5
PASSING,2
13,2
AIRPORTS,3
ACTING,4
WOLF,6
IMPLEMENTATION,1
TO,4
SUSPENDED,1
SECTION,1
212,1
F,1
STILL,5
RETURN,3
UNITED,7
LEGAL,3
RESIDENTS,3
SCREENED,1
IDENTIFIED,1
SYMPTOMATIC,1
ILLNESS,6
ADDITIONAL,3
SITE,1
ENCOURAGED,1
SELF,3
QUARANTINE,3
14,3
STARTED,2
MOMENTS,2
ASK,3
CURRENT,2
AWARE,2
ISSUED,4
SPECIFIC,7
HALF,1
DOZEN,1
BRIEFLY,1
DATA,4
SHOWING,1
COMMENDING,1
CRUISE,12
LINE,5
INDUSTRY,12
EIGHTY,1
PERCENT,8
DOMESTIC,4
LINES,5
SUSPENDING,3
OPERATIONS,1
30,8
CHAD,3
EXPLAIN,2
IMPORTANCE,2
MET,1
EXECUTIVES,1
VIGOROUSLY,1
POLICIES,3
START,5
THEYLL,2
SAFER,1
HEALTHIER,1
PLACES,2
EVER,1
LOVE,2
ENJOY,1
FORESHADOWED,1
TRAVELTO,1
KINGDOM,1
EFFECTIVE,4
SUGGESTED,1
EXPERTS,5
PRESENTED,1
REFLECT,1
NUMBERS,4
UNANIMOUS,2
RECOMMENDATION,1
FUNNELED,1
PROCESSED,1
EMPHASIZE,4
RISK,10
SERIOUS,8
REMAINS,3
SHOWS,1
SENIORS,10
UNDERLYING,5
CONDITIONS,6
VULNERABLE,4
POPULATION,1
SUSCEPTIBLE,1
OUTCOMES,1
SEEMA,3
VERMA,3
RESTRICT,2
VISITORS,3
NURSING,9
HOMES,7
MEASURES,6
BLESSED,1
88,1
OLD,4
MOM,1
PRACTICING,2
KIND,2
HYGIENE,1
EXPOSED,2
CARSON,4
SURGEON,5
GENERAL,5
WRAP,1
WITH,4
RECOGNIZE,5
STAND,2
QUICK,1
REVIEW,1
LATE,2
GLOBALLY,2
129,1
INVOLVEMENT,2
132,2
PLUS,4
THOUSAND,1
7,3
500,1
MENTIONED,3
COUPLE,4
FORMERLY,1
MAIN,1
FEEDER,1
OUTBREAK,2
80,1
81,1
11,3
SWITCHED,1
OUTSIDE,1
TRIGGERED,1
BESIDES,1
CURVE,6
UNIDIMENSIONAL,1
HOMOGENEOUS,1
STARTING,2
KOREA,5
BRINGS,1
2,1
226,1
REPATRIATIONS,1
532,1
9,3
PEAK,1
SUFFERING,1
PREDOMINANTLY,1
AMONG,1
VULNERABLES,1
SOCIETY,1
INDIVIDUALS,6
SPOKE,1
ELDERLY,2
BUILT,1
CHALLENGE,2
OPPORTUNITY,3
INFLUENCE,1
COURSE,1
REASON,2
COMMENT,3
PHYSICIAN,5
PRIMARILY,1
PATIENTS,6
PHYSICIANS,5
DECLARING,1
WORD,2
USE,5
UNSHACKLING,1
POWERS,1
HHS,2
ALEX,1
AZAR,6
DEPARTMENTS,1
WITHIN,2
AGENCY,1
CMS,3
SHORTLY,1
GOT,5
ASKED,2
CEOS,1
SYSTEMS,1
RESPONSIBILITY,2
KNOWLEDGE,1
ALLEVIATE,1
ANXIETY,1
GIVE,3
INDIVIDUAL,3
CITIZEN,1
STOP,3
ANSWER,1
LATER,2
DEB,2
SECOND,3
FOUR,2
LEARNED,2
EXTRAORDINARY,3
WITNESS,1
SECONDLY,2
WILLINGNESS,1
INDEPENDENT,1
PARTY,1
AFFILIATION,1
THIRD,1
REMARKABLE,2
DECREASE,1
BUREAUCRACY,1
RED,1
TAPE,1
ORDER,4
EVIDENT,1
UNDERSTANDING,1
UNLEASH,1
SERVE,2
CREATE,2
PARTNERSHIPS,2
SECTOR,5
REMIND,2
SURVEILLANCE,2
SYSTEM,2
INSTITUTIONS,1
MOVED,1
DIAGNOSTIC,1
WHAT,2
CONSUMER,1
BRINGING,1
AUTOMATED,1
HEARD,2
ROCHE,1
CRITICAL,3
REQUIRING,1
OBVIOUSLY,3
DECENTRALIZE,1
LABORATORIES,2
NEEDED,1
CONCLUDE,2
SIMILAR,1
SOUTH,4
DATE,3
96,2
SYMPTOMS,14
